"HR  [1/9110]+ ""Bright Star"" 
","HD        [1/225300] Henry Draper"" catalog",RA degre,Dec (degre),"Vmag
Mag",couleur,,,,,,,,,,,,,,,,
458,9826,60,"41,4055555555556",4.1,yellow,,,,,,,,,,,60,,,,,
464,9927,"61,25","48,6283333333333",3.57,Red,,,,,,,,,,,60,,,,,
469,10072,"63,75","44,3861111111111",4.98,Red,,,,,,,,,,,"61,25",,,,,
472,10144,"61,25","-57,2366666666667",0.46,Light blue,,,,,,,,,,,"66,25",,,,,
477,10205,65,"40,5769444444445",4.94,Light blue,,,,,,,,,,,"66,25",,,,,
483,10307,"66,25","42,6136111111111",4.96,yellow,,,,,,,,,,,"68,75",,,,,
489,10380,"66,25","5,4875",4.44,Red,,,,,,,,,,,70,,,,,
496,10516,"68,75","50,6888888888889",4.06,Light blue,,,,,,,,,,,70,,,,,
500,10550,"67,5","-3,69027777777778",5,Red,,,,,,,,,,,70,,,,,
509,10700,70,"-15,9375",3.5,Red,,,,,,,,,,,"71,25",,,,,
510,10761,"71,25","9,15777777777778",4.26,Red,,,,,,,,,,,"72,5",,,,,
531,11171,"76,25","-10,6863888888889",4.68,yellow,,,,,,,,,,,25,,,,,
539,11353,"78,75","-10,335",3.72,Red,,,,,,,,,,,"17,5",,,,,
542,11415,"82,5","63,6702777777778",3.37,Light blue,,,,,,,,,,,"22,5",,,,,
544,11443,"81,25","29,5788888888889",3.42,yellow,,,,,,,,,,,25,,,,,
545,11503,"81,25","19,2958333333333",4.83,Light blue,,,,,,,,,,,"26,25",,,,,
546,11502,"81,25","19,2936111111111",4.75,yellow,,,,,,,,,,,"26,25",,,,,
548,11529,"83,75","68,6852777777778",4.99,Red,,,,,,,,,,,25,,,,,
549,11559,"81,25","3,1875",4.63,Red,,,,,,,,,,,"28,75",,,,,
553,11636,"82,5","20,8080555555556",2.65,yellow,,,,,,,,,,,"28,75",,,,,
555,11695,"81,25","-46,3027777777778",4.41,Red,,,,,,,,,,,"28,75",,,,,
565,11930,85,"-22,5266666666667",4.85,Red,,,,,,,,,,,"31,25",,,,,
566,11937,"83,75","-51,6088888888889",3.7,Red,,,,,,,,,,,"33,75",,,,,
569,11973,"86,25","23,5961111111111",4.79,yellow,,,,,,,,,,,"33,75",,,,,
570,11977,"82,5","-67,6475",4.69,Red,,,,,,,,,,,40,,,,,
574,12055,"86,25","-47,385",4.82,Red,,,,,,,,,,,"38,75",,,,,
575,12111,"31,25","70,9072222222222",4.54,yellow,,,,,,,,,,,"42,5",,,,,
580,12216,"33,75","72,4213888888889",3.98,yellow,,,,,,,,,,,"46,25",,,,,
585,12274,30,"-21,0777777777778",4.02,Red,,,,,,,,,,,45,,,,,
591,12311,"87,5","-61,57",2.86,yellow,,,,,,,,,,,"46,25",,,,,
596,12447,"32,5","2,76361111111111",4.33,yellow,,,,,,,,,,,"46,25",,,,,
603,12533,"33,75","42,3297222222222",2.26,Red,,,,,,,,,,,"48,75",,,,,
604,12534,"33,75","42,3308333333333",4.84,Red,,,,,,,,,,,"68,75",,,,,
612,12767,35,"-29,2969444444444",4.69,Light blue,,,,,,,,,,,50,,,,,
617,12929,"38,75","23,4625",2.01,Red,,,,,,,,,,,"52,5",,,,,
620,13041,40,"37,8591666666667",4.83,yellow,,,,,,,,,,,"53,75",,,,,
622,13161,"41,25","34,9872222222222",3,yellow,,,,,,,,,,,"53,75",,,,,
623,13174,"41,25","25,94",4.98,Red,,,,,,,,,,,"56,25",,,,,
642,13480,45,"30,3030555555556",4.94,Red,,,,,,,,,,,60,,,,,
643,13520,"46,25","44,2319444444444",4.83,Red,,,,,,,,,,,"61,25",,,,,
649,13611,45,"8,84666666666667",4.35,Red,,,,,,,,,,,"63,75",,,,,
660,13974,"51,25","34,2244444444444",4.87,Red,,,,,,,,,,,"61,25",,,,,
664,14055,"51,25","33,8472222222222",4.01,yellow,,,,,,,,,,,65,,,,,
674,14228,50,"-51,5122222222222",3.56,Light blue,,,,,,,,,,,"66,25",,,,,
681,14386,"53,75","-2,9775",3.05,Red,,,,,,,,,,,"66,25",,,,,
699,14872,"61,25","50,2786111111111",4.7,Red,,,,,,,,,,,"68,75",,,,,
705,15008,"56,25","-68,6594444444444",4.09,yellow,,,,,,,,,,,"67,5",,,,,
707,15089,"66,25","67,4025",4.53,yellow,,,,,,,,,,,70,,,,,
708,15130,"61,25","-12,2905555555556",4.89,Light blue,,,,,,,,,,,"71,25",,,,,
718,15318,65,"8,46",4.3,Light blue,,,,,,,,,,,"76,25",,,,,
721,15371,"62,5","-47,7038888888889",4.25,Light blue,,,,,,,,,,,"78,75",,,,,
740,15798,70,"-15,2447222222222",4.75,yellow,,,,,,,,,,,"82,5",,,,,
749,16046,"71,25","-28,2325",4.89,Light blue,,,,,,,,,,,"81,25",,,,,
754,16161,"73,75","5,59333333333333",4.86,Red,,,,,,,,,,,"81,25",,,,,
779,16582,"78,75","0,328611111111111",4.06,Light blue,,,,,,,,,,,"81,25",,,,,
781,16620,"78,75","-11,8722222222222",4.84,Red,,,,,,,,,,,"83,75",,,,,
788,16739,"82,5","40,1938888888889",4.92,yellow,,,,,,,,,,,"81,25",,,,,
789,16754,"78,75","-42,8916666666667",4.75,yellow,,,,,,,,,,,"82,5",,,,,
794,16815,80,"-39,8552777777778",4.11,Red,,,,,,,,,,,"81,25",,,,,
799,16895,85,"49,2286111111111",4.13,yellow,,,,,,,,,,,85,,,,,
801,16908,"83,75","27,7072222222222",4.67,Light blue,,,,,,,,,,,"83,75",,,,,
804,16970,"83,75","3,23583333333333",3.47,yellow,,,,,,,,,,,"86,25",,,,,
806,16978,"78,75","-68,2669444444444",4.11,Light blue,,,,,,,,,,,"82,5",,,,,
811,17081,85,"-13,8588888888889",4.24,Light blue,,,,,,,,,,,"86,25",,,,,
813,17094,85,"10,1141666666667",4.27,yellow,,,,,,,,,,,"31,25",,,,,
818,17206,"86,25","-18,5725",4.46,yellow,,,,,,,,,,,"33,75",,,,,
824,17361,"88,75","29,2472222222222",4.52,Red,,,,,,,,,,,30,,,,,
834,17506,"92,5","55,8955555555556",3.79,Red,,,,,,,,,,,"87,5",,,,,
837,17566,"86,25","-67,6166666666667",4.84,yellow,,,,,,,,,,,"32,5",,,,,
838,17573,"91,25","27,2605555555556",3.62,Light blue,,,,,,,,,,,"33,75",,,,,
840,17584,"92,5","38,3186111111111",4.23,yellow,,,,,,,,,,,"33,75",,,,,
841,17652,"91,25","-32,4061111111111",4.46,Red,,,,,,,,,,,35,,,,,
843,17709,"93,75","35,0597222222222",4.53,Red,,,,,,,,,,,"38,75",,,,,
850,17824,"93,75","-21,0041666666667",4.77,Red,,,,,,,,,,,40,,,,,
854,17878,"97,5","52,7625",3.96,Red,,,,,,,,,,,"41,25",,,,,
868,18242,"96,25","-49,8902777777778",3.92,Red,,,,,,,,,,,"41,25",,,,,
872,18293,"92,5","-75,0669444444444",4.75,Red,,,,,,,,,,,45,,,,,
874,18322,100,"-8,89805555555556",3.87,Red,,,,,,,,,,,"46,25",,,,,
879,18411,"102,5","39,6627777777778",4.7,yellow,,,,,,,,,,,45,,,,,
882,18449,"103,75","35,1830555555556",4.94,Red,,,,,,,,,,,"51,25",,,,,
887,18519,"103,75","21,3402777777778",4.63,yellow,,,,,,,,,,,"51,25",,,,,
888,18520,"103,75","21,3402777777778",4.64,yellow,,,,,,,,,,,50,,,,,
896,18604,"103,75","8,9075",4.7,Light blue,,,,,,,,,,,"53,75",,,,,
897,18622,"102,5","-40,3047222222222",3.42,yellow,,,,,,,,,,,"61,25",,,,,
898,18623,"102,5","-40,3044444444444",4.42,Red,,,,,,,,,,,"56,25",,,,,
909,18866,"102,5","-64,0711111111111",4.99,yellow,,,,,,,,,,,"66,25",,,,,
911,18884,"47,5","4,08972222222222",2.53,Red,,,,,,,,,,,"61,25",,,,,
915,18925,50,"53,5063888888889",2.93,Red,,,,,,,,,,,65,,,,,
918,18970,"51,25","56,7058333333333",4.76,Red,,,,,,,,,,,"62,5",,,,,
919,18978,"47,5","-23,6244444444444",4.09,yellow,,,,,,,,,,,70,,,,,
921,19058,"51,25","38,8402777777778",3.39,Red,,,,,,,,,,,"71,25",,,,,
932,19275,"58,75","74,3936111111111",4.88,yellow,,,,,,,,,,,"73,75",,,,,
936,19356,55,"40,9558333333333",2.12,Light blue,,,,,,,,,,,"78,75",,,,,
937,19373,"56,25","49,6133333333333",4.05,yellow,,,,,,,,,,,"78,75",,,,,
941,19476,"56,25","44,8575",3.81,Red,,,,,,,,,,,"82,5",,,,,
947,19656,"58,75","39,6116666666667",4.64,Red,,,,,,,,,,,"78,75",,,,,
951,19787,"58,75","19,7266666666667",4.37,Red,,,,,,,,,,,80,,,,,
963,20010,60,"-28,9872222222222",3.85,yellow,,,,,,,,,,,85,,,,,
972,20150,"62,5","21,0444444444444",4.89,Light blue,,,,,,,,,,,"83,75",,,,,
984,20320,"63,75","-8,81972222222222",4.8,yellow,,,,,,,,,,,"83,75",,,,,
985,20336,"68,75","65,6525",4.85,Light blue,,,,,,,,,,,"78,75",,,,,
991,20468,"67,5","34,2225",4.82,Red,,,,,,,,,,,85,,,,,
994,20610,"67,5","-22,5113888888889",4.88,Red,,,,,,,,,,,85,,,,,
996,20630,"68,75","3,37027777777778",4.84,yellow,,,,,,,,,,,"86,25",,,,,
999,20644,70,"29,0486111111111",4.47,Red,,,,,,,,,,,"88,75",,,,,
1002,20677,"71,25","43,3297222222222",4.95,yellow,,,,,,,,,,,"92,5",,,,,
1003,20720,"68,75","-21,7577777777778",3.7,Red,,,,,,,,,,,"86,25",,,,,
1008,20794,"68,75","-43,0697222222222",4.27,yellow,,,,,,,,,,,"91,25",,,,,
1017,20902,75,"49,8613888888889",1.79,yellow,,,,,,,,,,,"92,5",,,,,
1030,21120,75,"9,02888888888889",3.6,Red,,,,,,,,,,,"91,25",,,,,
1034,21278,80,"49,0627777777778",4.98,Light blue,,,,,,,,,,,"93,75",,,,,
1035,21291,"81,25","59,9402777777778",4.22,yellow,,,,,,,,,,,"93,75",,,,,
1038,21364,"78,75","9,73277777777778",3.75,Light blue,,,,,,,,,,,"97,5",,,,,
1040,21389,"81,25","58,8788888888889",4.54,yellow,,,,,,,,,,,"96,25",,,,,
1044,21428,"81,25","49,5088888888889",4.67,Light blue,,,,,,,,,,,"92,5",,,,,
1052,21552,"82,5","47,9952777777778",4.38,Red,,,,,,,,,,,100,,,,,
1066,21754,"82,5","12,9366666666667",4.1,Red,,,,,,,,,,,"102,5",,,,,
1070,21790,"82,5","-5,07527777777778",4.73,Light blue,,,,,,,,,,,"103,75",,,,,
1083,22001,"81,25","-62,9377777777778",4.72,yellow,,,,,,,,,,,"103,75",,,,,
1084,22049,85,"-9,45833333333333",3.73,Red,,,,,,,,,,,"103,75",,,,,
1087,22192,90,"48,1927777777778",4.23,Light blue,,,,,,,,,,,"103,75",,,,,
1088,22203,"86,25","-21,6330555555556",4.28,Light blue,,,,,,,,,,,"102,5",,,,,
1101,22484,90,"0,401666666666667",4.28,yellow,,,,,,,,,,,"102,5",,,,,
1106,22663,"91,25","-40,2747222222222",4.58,Red,,,,,,,,,,,"102,5",,,,,
1122,22928,"97,5","47,7875",3.01,Light blue,,,,,,,,,,,"47,5",,,,,
1123,22951,"97,5","33,965",4.97,yellow,,,,,,,,,,,50,,,,,
1129,23089,"102,5","63,345",4.79,Red,,,,,,,,,,,"51,25",,,,,
1131,23180,100,"32,2883333333333",3.83,Light blue,,,,,,,,,,,"47,5",,,,,
1134,23227,"97,5","-31,9383333333333",5,Light blue,,,,,,,,,,,"51,25",,,,,
1135,23230,"101,25","42,5786111111111",3.8,yellow,,,,,,,,,,,"58,75",,,,,
1136,23249,"98,75","-9,76333333333333",3.54,Red,,,,,,,,,,,55,,,,,
1142,23302,100,"24,1133333333333",3.7,Light blue,,,,,,,,,,,"56,25",,,,,
1143,23319,"97,5","-37,3136111111111",4.59,Red,,,,,,,,,,,"56,25",,,,,
1145,23338,"101,25","24,4672222222222",4.3,Light blue,,,,,,,,,,,"58,75",,,,,
1148,23401,"107,5","71,3325",4.66,yellow,,,,,,,,,,,"58,75",,,,,
1149,23408,"101,25","24,3677777777778",3.87,Light blue,,,,,,,,,,,60,,,,,
1155,23475,"106,25","65,5261111111111",4.48,Red,,,,,,,,,,,"62,5",,,,,
1156,23480,"102,5","23,9483333333333",4.18,Light blue,,,,,,,,,,,"63,75",,,,,
1162,23614,"102,5","-12,1016666666667",4.42,Red,,,,,,,,,,,"68,75",,,,,
1165,23630,"103,75","24,105",2.87,Light blue,,,,,,,,,,,"67,5",,,,,
1173,23754,"102,5","-23,2497222222222",4.23,yellow,,,,,,,,,,,"67,5",,,,,
1175,23817,100,"-64,8072222222222",3.85,Red,,,,,,,,,,,"68,75",,,,,
1178,23850,"106,25","24,0533333333333",3.62,Light blue,,,,,,,,,,,70,,,,,
1190,24072,105,"-37,6205555555556",4.86,Light blue,,,,,,,,,,,"71,25",,,,,
1195,24160,"106,25","-36,2002777777778",4.17,Red,,,,,,,,,,,"68,75",,,,,
1203,24398,"112,5","31,8836111111111",2.85,Light blue,,,,,,,,,,,"68,75",,,,,
1205,24480,"116,25","61,1088888888889",5,Red,,,,,,,,,,,75,,,,,
1208,24512,"103,75","-74,2391666666667",3.24,Red,,,,,,,,,,,75,,,,,
1212,24555,"112,5","-2,95472222222222",4.79,Red,,,,,,,,,,,80,,,,,
1213,24587,"111,25","-24,6125",4.65,Light blue,,,,,,,,,,,"81,25",,,,,
1220,24760,"116,25","40,0102777777778",2.89,Light blue,,,,,,,,,,,"78,75",,,,,
1228,24912,"117,5","35,7911111111111",4.04,Light blue,,,,,,,,,,,"81,25",,,,,
1231,25025,"117,5","-13,5086111111111",2.94,Red,,,,,,,,,,,"81,25",,,,,
1239,25204,60,"12,4902777777778",3.41,Light blue,,,,,,,,,,,"82,5",,,,,
1240,25267,"118,75","-24,0163888888889",4.66,Light blue,,,,,,,,,,,"82,5",,,,,
1247,25422,"117,5","-61,4002777777778",4.56,Red,,,,,,,,,,,"82,5",,,,,
1251,25490,"63,75","5,98944444444444",3.91,yellow,,,,,,,,,,,"81,25",,,,,
1256,25604,65,"22,0819444444444",4.37,Red,,,,,,,,,,,85,,,,,
1261,25642,"67,5","50,3513888888889",4.29,yellow,,,,,,,,,,,90,,,,,
1264,25705,60,"-62,1594444444444",4.51,Red,,,,,,,,,,,"86,25",,,,,
1266,25728,"61,25","-61,0788888888889",4.97,Red,,,,,,,,,,,90,,,,,
1273,25940,70,"47,7125",4.03,Light blue,,,,,,,,,,,"91,25",,,,,
1298,26574,"73,75","-6,83777777777778",4.05,yellow,,,,,,,,,,,"97,5",,,,,
1302,26612,"72,5","-41,9936111111111",4.93,yellow,,,,,,,,,,,"97,5",,,,,
1303,26630,"77,5","48,4094444444444",4.16,Red,,,,,,,,,,,"102,5",,,,,
1306,26673,"77,5","40,4838888888889",4.71,Red,,,,,,,,,,,100,,,,,
1311,26722,"76,25","9,26361111111111",4.84,Red,,,,,,,,,,,"97,5",,,,,
1318,26846,"77,5","-10,2563888888889",4.86,Red,,,,,,,,,,,"101,25",,,,,
1320,26912,"78,75","8,89222222222222",4.28,Light blue,,,,,,,,,,,"98,75",,,,,
1324,26961,"82,5","50,2955555555556",4.61,yellow,,,,,,,,,,,100,,,,,
1325,26965,"78,75","-7,65277777777778",4.43,Red,,,,,,,,,,,"97,5",,,,,
1326,26967,"77,5","-42,2944444444445",3.86,Red,,,,,,,,,,,"101,25",,,,,
1329,27045,"81,25","20,5786111111111",4.95,yellow,,,,,,,,,,,"107,5",,,,,
1336,27256,"77,5","-62,4738888888889",3.35,Red,,,,,,,,,,,"101,25",,,,,
1338,27290,80,"-51,4866666666667",4.25,yellow,,,,,,,,,,,"106,25",,,,,
1343,27348,85,"34,5666666666667",4.93,Red,,,,,,,,,,,"102,5",,,,,
1346,27371,"83,75","15,6275",3.65,Red,,,,,,,,,,,"102,5",,,,,
1347,27376,"81,25","-33,7983333333333",3.56,Light blue,,,,,,,,,,,"103,75",,,,,
1348,27382,85,"27,3508333333333",4.95,Red,,,,,,,,,,,"102,5",,,,,
1350,27396,"86,25","46,4988888888889",4.86,Light blue,,,,,,,,,,,100,,,,,
1355,27442,80,"-59,3019444444444",4.44,Red,,,,,,,,,,,"106,25",,,,,
1373,27697,"87,5","17,5425",3.76,Red,,,,,,,,,,,105,,,,,
1380,27819,90,"17,4438888888889",4.8,yellow,,,,,,,,,,,"106,25",,,,,
1387,27934,"91,25","22,2938888888889",4.22,yellow,,,,,,,,,,,"112,5",,,,,
1389,27962,"91,25","17,9280555555556",4.28,yellow,,,,,,,,,,,"116,25",,,,,
1392,28024,"92,5","22,8136111111111",4.28,yellow,,,,,,,,,,,"103,75",,,,,
1393,28028,90,"-34,0169444444444",3.96,Red,,,,,,,,,,,"112,5",,,,,
1394,28052,"92,5","15,6183333333333",4.5,yellow,,,,,,,,,,,"111,25",,,,,
1396,28100,"92,5","14,7136111111111",4.69,Red,,,,,,,,,,,"116,25",,,,,
1407,28292,95,"16,3597222222222",4.97,Red,,,,,,,,,,,"117,5",,,,,
1409,28305,95,"19,1802777777778",3.54,Red,,,,,,,,,,,"117,5",,,,,
1411,28307,95,"15,9622222222222",3.84,Red,,,,,,,,,,,60,,,,,
1412,28319,95,"15,8708333333333",3.39,yellow,,,,,,,,,,,"118,75",,,,,
1427,28527,"97,5","16,1938888888889",4.78,yellow,,,,,,,,,,,"117,5",,,,,
1437,28749,"98,75","-0,044166666666667",4.89,Red,,,,,,,,,,,"63,75",,,,,
1444,28910,"101,25","14,8444444444444",4.65,yellow,,,,,,,,,,,65,,,,,
1453,29085,"101,25","-29,7666666666667",4.51,Red,,,,,,,,,,,"67,5",,,,,
1454,29094,105,"41,2647222222222",4.26,Red,,,,,,,,,,,60,,,,,
1457,29139,"103,75","16,5091666666667",0.86,Red,,,,,,,,,,,"61,25",,,,,
1458,29140,"103,75","10,1608333333333",4.25,yellow,,,,,,,,,,,70,,,,,
1463,29248,105,"-3,3525",3.92,Light blue,,,,,,,,,,,"73,75",,,,,
1464,29291,"103,75","-30,5625",3.82,Red,,,,,,,,,,,"72,5",,,,,
1465,29305,"101,25","-55,045",3.27,Light blue,,,,,,,,,,,"77,5",,,,,
1473,29388,"107,5","12,5108333333333",4.27,yellow,,,,,,,,,,,"77,5",,,,,
1479,29488,"108,75","15,9180555555556",4.7,yellow,,,,,,,,,,,"76,25",,,,,
1481,29503,"107,5","-14,3041666666667",3.87,Red,,,,,,,,,,,"77,5",,,,,
1496,29755,110,"-19,6716666666667",4.3,Red,,,,,,,,,,,"78,75",,,,,
1497,29763,"112,5","22,9569444444444",4.29,Light blue,,,,,,,,,,,"82,5",,,,,
1502,29875,110,"-41,8638888888889",4.45,yellow,,,,,,,,,,,"78,75",,,,,
1520,30211,"116,25","-3,25472222222222",4.02,Light blue,,,,,,,,,,,"77,5",,,,,
1533,30504,"121,25","37,4883333333333",4.91,Red,,,,,,,,,,,"81,25",,,,,
1542,30614,"127,5","66,3427777777778",4.29,Light blue,,,,,,,,,,,"77,5",,,,,
1543,30652,"121,25","6,96138888888889",3.18,yellow,,,,,,,,,,,80,,,,,
1544,30739,"122,5","8,90027777777778",4.35,yellow,,,,,,,,,,,85,,,,,
1551,30834,125,"36,7030555555556",4.77,Red,,,,,,,,,,,"83,75",,,,,
1552,30836,"123,75","5,605",3.68,Light blue,,,,,,,,,,,"81,25",,,,,
1556,30959,125,"14,2505555555556",4.74,Red,,,,,,,,,,,85,,,,,
1560,31109,125,"-5,45277777777778",4.39,yellow,,,,,,,,,,,"86,25",,,,,
1567,31237,"127,5","2,44055555555556",3.73,Light blue,,,,,,,,,,,80,,,,,
1568,31278,"131,25","53,7522222222222",4.47,yellow,,,,,,,,,,,"87,5",,,,,
1570,31295,"127,5","10,1508333333333",4.67,yellow,,,,,,,,,,,90,,,,,
1577,31398,130,"33,1661111111111",2.69,Red,,,,,,,,,,,"91,25",,,,,
1580,31421,130,"13,5144444444444",4.06,Red,,,,,,,,,,,"91,25",,,,,
1592,31647,"133,75","37,8902777777778",4.95,yellow,,,,,,,,,,,"92,5",,,,,
1601,31767,"132,5","1,71416666666667",4.47,Red,,,,,,,,,,,90,,,,,
1603,31910,"78,75","60,4422222222222",4.02,Red,,,,,,,,,,,"92,5",,,,,
1605,31964,"76,25","43,8233333333333",2.99,yellow,,,,,,,,,,,"92,5",,,,,
1611,32045,"133,75","-12,5375",4.78,yellow,,,,,,,,,,,95,,,,,
1612,32068,"77,5","41,0758333333333",3.75,Red,,,,,,,,,,,95,,,,,
1617,32249,"76,25","-7,17388888888889",4.81,Light blue,,,,,,,,,,,95,,,,,
1620,32301,"78,75","21,59",4.64,yellow,,,,,,,,,,,95,,,,,
1621,32309,"76,25","-20,0519444444444",4.92,Light blue,,,,,,,,,,,"97,5",,,,,
1637,32537,"82,5","51,5977777777778",5,yellow,,,,,,,,,,,"98,75",,,,,
1638,32549,80,"15,4038888888889",4.68,Light blue,,,,,,,,,,,"101,25",,,,,
1641,32630,"82,5","41,2344444444444",3.18,Light blue,,,,,,,,,,,"101,25",,,,,
1652,32831,80,"-35,4833333333333",4.55,Red,,,,,,,,,,,105,,,,,
1654,32887,"81,25","-22,3711111111111",3.18,Red,,,,,,,,,,,"103,75",,,,,
1656,32923,"83,75","18,645",5,Red,,,,,,,,,,,"103,75",,,,,
